unique_video_id,filename,Number_of_vertice,Number_of_edge,in_degree,out_degree,betweenness,density,transitivity,reciprocity,constraint,Number_of_topics,Content_type,Verified_status,Number_of_thumbs,Number_of_transmits,Number_of_comments,Followee,Follower,Publisher,Government_account,Unnamed: 12,Video_duration,Publish_date,Number_of_views,Video_length,nowtime,Published_days
239,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/气候变化及其背后的利益博弈 主讲人：丁仲礼.csv.csv,156,463,155,155,23554,0.0191480562448304,0.0324751316559391,0.676855895196507,0.98209118324703,5,1,2,2358,616,208,2,243,七号搬运工,2,https://www.bilibili.com/video/BV1QW411D7MW?from=search&seid=6075194328091201621,01:49:59,2018-08-27 16:57:46,82000,6599,2022-01-09 14:08:02.086693,1230
240,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/气候变化与早期中华文明 看中国01【地缘志】.csv.csv,206,616,205,205,41408,0.0145867866445655,0.0193073248407643,0.676616915422886,0.980881381174801,4,2,1,3012,286,286,26,174000,地缘志,2,https://www.bilibili.com/video/BV1Z441177bv?from=search&seid=6075194328091201621,00:04:32,2019-05-18 18:07:26,74000,272,2022-01-09 14:08:02.086693,966
241,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/气候峰会前拜登带超长车队出行，被嘲“非常环保”.csv.csv,1032,3113,1031,1031,1060593,0.002925773877999,0.0044694042361064,0.667524115755627,0.995503114548137,9,1,1,24000,271,1163,42,7194000,观察者网,1,https://www.bilibili.com/video/BV19b4y1b7jt?from=search&seid=6075194328091201621,00:00:52,2021-10-31 13:39:45,386000,52,2022-01-09 14:08:02.086693,70
242,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/气候峰会上穷国喊话富国：“不如直接炸了我们！”.csv.csv,809,2465,808,808,649928,0.0037710044181179,0.00579314570597,0.671271840715156,0.995807571414559,18,1,1,9376,213,910,17,119000,看看新闻Knews,2,https://www.bilibili.com/video/BV1FL4y1q7PJ?from=search&seid=6075194328091201621,00:01:40,2021-11-03 15:32:42,216000,100,2022-01-09 14:08:02.086693,66
243,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/气候问题上，马克龙大战特朗普.csv.csv,226,689,225,225,49866,0.0135496558505408,0.021457863114728,0.666666666666667,0.985611869130056,14,1,1,37,68,423,42,7194000,观察者网,1,https://www.bilibili.com/video/BV1Ux411m7te?from=search&seid=6075194328091201621,00:02:02,2017-05-09 15:41:12,21000,122,2022-01-09 14:08:02.086693,1705
244,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/青年气候活动家格蕾塔·桑伯格于2019气候行动峰会上发表讲话 英文版 同声传译中文版.csv.csv,351,1043,350,350,121460,0.0084900284900284,0.012449684084593,0.675701839303001,0.990244175072472,12,3,2,423,330,480,54,321,费城-PHILLY,2,https://www.bilibili.com/video/BV1dJ411K7Jv?from=search&seid=6075194328091201621,00:04:07,2019-09-26 03:36:37,113000,247,2022-01-09 14:08:02.086693,836
245,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/清朝大移民！“走西口”的艰苦创业征程【历史的天空12】.csv.csv,369,1132,368,368,134002,0.008336279014964,0.0147456377488326,0.679111111111111,0.991770155056438,13,2,1,7802,282,565,174,618000,御史房,2,https://www.bilibili.com/video/BV1Fv411n7k9?from=search&seid=6075194328091201621,00:12:00,2021-07-14 20:20:13,96000,720,2022-01-09 14:08:02.086693,178
246,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/庆怜：我们的行动决定着地球气候的未来.csv.csv,568,1819,567,567,312362.633333333,0.005648086047147,0.0082271088314458,0.67404537908135,0.991276960569347,12,2,1,3885,317,982,15,12000,英国大使馆文化教育处,2,https://www.bilibili.com/video/BV17f4y157Dp?from=search&seid=6075194328091201621,00:01:10,2021-07-19 16:57:24,34000,70,2022-01-09 14:08:02.086693,173
247,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/全球变暖 为何还有这么多寒潮？.csv.csv,199,590,198,198,38583,0.0149738591949647,0.0245472837022133,0.700854700854701,0.988996851963505,4,2,1,3557,89,247,12,2129000,小央视频,1,https://www.bilibili.com/video/BV1Gf4y1k7iw?from=search&seid=6075194328091201621,00:01:02,2021-01-17 08:17:51,50000,62,2022-01-09 14:08:02.086693,357
248,/Users/liyuhan/python_practice/NetworkCons/CCvideo_matrix/全球气候变暖 为何还有寒潮频频来袭？.csv.csv,221,661,220,220,47872,0.0135952283011107,0.0197424621128231,0.701062215477997,0.983867276102461,3,2,1,5073,80,283,12,2129000,小央视频,1,https://www.bilibili.com/video/BV1Y44y1i7Nd?from=search&seid=6075194328091201621,00:00:24,2021-11-05 08:46:18,76000,24,2022-01-09 14:08:02.086693,65
